frame,coverage_ratio
1402,68.5344
1403,68.5344
1404,68.5344
1405,68.5347
1406,68.5347
1407,68.5347
1408,68.5347
1409,68.535
1410,68.5352
1411,68.5379
1412,68.5402
1413,68.5424
1414,68.5456
1415,68.5594
1416,68.578
1417,68.5863
1418,68.6022
1419,68.635
1420,68.6748
1421,68.733
1422,68.811
1423,68.8865
1424,68.9709
1425,69.0259
1426,69.0661
1427,69.0873
1428,69.0873
1429,69.089
1430,69.104
1431,69.1177
1432,69.1355
1433,69.1439
1434,69.1507
1435,69.1571
1436,69.1787
1437,69.1928
1438,69.2376
1439,69.3103
1440,69.3829
1441,69.4325
1442,69.491
1443,69.5428
1444,69.5442
1445,69.5443
1446,69.5443
1447,69.5443
1448,69.5443
1449,69.5443
1450,69.5443
1451,69.5443
1452,69.5443
1453,69.5443
1454,69.5443
1455,69.5443
1456,69.5443
1457,69.5443
1458,69.5443
1459,69.5443
1460,69.5443
1461,69.5486
1462,69.5628
1463,69.5695
1464,69.6075
1465,69.6584
1466,69.7267
1467,69.7597
1468,69.7799
1469,69.8041
1470,69.8222
1471,69.8641
1472,69.9341
1473,70.011
1474,70.0757
1475,70.1594
1476,70.2239
1477,70.2638
1478,70.2978
1479,70.3549
1480,70.4169
1481,70.4328
1482,70.4395
1483,70.4405
1484,70.443
1485,70.4486
1486,70.5222
1487,70.592
1488,70.6564
1489,70.7244
1490,70.7803
1491,70.8042
1492,70.8476
1493,70.8945
1494,70.9535
1495,70.995
1496,71.0779
1497,71.1222
1498,71.1868
1499,71.2431
1500,71.2574
1501,71.2574
1502,71.2593
1503,71.2612
1504,71.2612
1505,71.2612
1506,71.2612
1507,71.2612
1508,71.2612
1509,71.2612
1510,71.2612
1511,71.2612
1512,71.2612
1513,71.2612
1514,71.2612
1515,71.2612
1516,71.2612
1517,71.2612
1518,71.2612
1519,71.2751
1520,71.286
1521,71.3071
1522,71.3421
1523,71.3796
1524,71.4278
1525,71.461
1526,71.4781
1527,71.4951
1528,71.5226
1529,71.5343
1530,71.5473
1531,71.5582
1532,71.5658
1533,71.5801
1534,71.5906
1535,71.5909
1536,71.6
1537,71.7179
1538,71.7715
1539,71.8051
1540,71.828
1541,71.8348
1542,71.8386
1543,71.8612
1544,71.941
1545,72.0286
1546,72.0572
1547,72.0816
1548,72.1107
1549,72.117
1550,72.1345
1551,72.1456
1552,72.1481
1553,72.1531
1554,72.1616
1555,72.1732
1556,72.1847
1557,72.1976
1558,72.1979
1559,72.1984
1560,72.1984
1561,72.1984
1562,72.1984
1563,72.1984
1564,72.1984
1565,72.1984
1566,72.1984
1567,72.1984
1568,72.1984
1569,72.1984
1570,72.1984
1571,72.1984
1572,72.1984
1573,72.1984
1574,72.1984
1575,72.2106
1576,72.2162
1577,72.2196
1578,72.2234
1579,72.2292
1580,72.2465
1581,72.2889
1582,72.3547
1583,72.4424
1584,72.5137
1585,72.5906
1586,72.6654
1587,72.7344
1588,72.7896
1589,72.8408
1590,72.8868
1591,72.9066
1592,72.9092
1593,72.9106
1594,72.9118
1595,72.9171
1596,72.9298
1597,72.9321
1598,72.9351
1599,72.9531
1600,72.9609
1601,72.9764
1602,73.0046
1603,73.0321
1604,73.0855
1605,73.127
1606,73.1536
1607,73.1733
1608,73.1864
1609,73.2032
1610,73.2083
1611,73.2109
1612,73.2153
1613,73.2233
1614,73.2774
1615,73.3697
1616,73.455
1617,73.5166
1618,73.5786
1619,73.5998
1620,73.6011
1621,73.6011
1622,73.6011
1623,73.6011
1624,73.6011
1625,73.6011
1626,73.6011
1627,73.6011
1628,73.6011
1629,73.6011
1630,73.6011
1631,73.6011
1632,73.6011
1633,73.6053
1634,73.6144
1635,73.6288
1636,73.6359
1637,73.6369
1638,73.6408
1639,73.6412
1640,73.6412
1641,73.6412
1642,73.6412
1643,73.6427
1644,73.6443
1645,73.6459
1646,73.6459
1647,73.6459
1648,73.6459
1649,73.6459
